artisan,product name,principles,materials,processes,industrial scale items,url,image
olive mode,3 piece cosmetic bag,"woman owned, black owned, ","canvas, transparent plastic, leather, zipper","machine sewing, dye, ","canvas, zipper, transparent plastic",https://www.olivemodeboutique.com/products/3-piece-cosmetic-bag,https://cdn.shopify.com/s/files/1/0524/0782/8630/products/image_ec3d0c71-a71f-4e02-a7a6-edfe6de4dd77.jpg
willow run acres,introduction to compost & manure,"black owned, food soverignity, community education","compost, manure","seminar, hands on",,https://docs.google.com/forms/d/e/1FAIpQLSeSx3L7kfdpHwn9gbm8mOy7CgFZgXO6lJZnuri_LEYsFEMH8Q/viewform?usp=sf_link,https://img1.wsimg.com/isteam/stock/46445/
Visual Noise Detroit,Wraps,"woman owned, black owned",cotton,"crochet, yarn",,http://www.visual-noise.com/wraps.html,http://www.visual-noise.com/uploads/4/7/6/7/47676831/1257960_orig.jpg
Cactus Harmony,Native Plants & Soil,"woman owned, black owned, food soverignity","soil, plants, native plants","generative, nature",,https://cactusharmony.org/,https://cactusharmony.org/wp-content/uploads/2022/02/cactus-harmony-logo.png
AfroFuture Fashions,Gye Nyame Shirt with Matching Mask,"weaver collective, ","cotton, cloth, dye","sewing, dye, weaving",cotton,https://africanfuturist.org/product/gye-nyame-shirt-with-matching-mask/,https://africanfuturist.org/wp-content/uploads/2020/08/49f9310c-1765-48d7-af6c-a09a0a4e34c0-2.jpg
Dabls Mbad African Bead Museum,Book bags painted by Dabls (signed),"african american civil rights, african culture, african american culture","canvas, acrylic paint","machine sewing, ink",canvas,http://www.mbad.org/beadshop/book-bags-painted-by-dabls-signed-your-pick,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1584985460133-H2CRMDAQ811DJGX2IA15/Book+bags+painted+by+Dabls+Signed+%24125.00+ea+version+6.jpg?format=1500w
olive mode,Cowl neck backless crop top,"woman owned, black owned,",satin,"stitching, dyeing, weaving",,https://www.olivemodeboutique.com/products/cowl-neck-backless-crop-top,https://cdn.shopify.com/s/files/1/0524/0782/8630/products/image_0caad4e0-0e3f-49b9-aca7-8d55ce31df3d.jpg?v=1650230854&width=1100
olive mode,Walkthrough Vegan Leather pants,"woman owned, black owned,",vegan leather ,"stitching, dyeing, weaving",,https://www.olivemodeboutique.com/products/brown-vegan-leather-pantss,https://cdn.shopify.com/s/files/1/0524/0782/8630/products/image_aa717edc-8d5a-4910-a631-72fd1ac176b8.jpg?v=1638733857&width=1100
olive mode,toast knitted cutout dress ,"woman owned, black owned,",cotton ,"knitting, stitching, dyeing",,https://www.olivemodeboutique.com/products/cream-long-sleeve-knitted-dress,https://cdn.shopify.com/s/files/1/0524/0782/8630/products/image_9ba45371-e826-47ec-9111-ca29f5baef14.jpg?v=1638734184&width=1100
olive mode,Panama Maxi Dress,"woman owned, black owned,","poly, maxi, cotton ","stitching, dyeing, weaving",,https://www.olivemodeboutique.com/products/panama-maxi-dress,https://cdn.shopify.com/s/files/1/0524/0782/8630/products/image_5f280833-0011-4894-8e5e-634c7702695f.jpg?v=1625922038&width=1100
